time,seconds_elapsed,z,y,x
1663326947268860700,0.759860595703125,-9.805462836042047,0.08911596070644445,-0.12385288190096616
1663326947278816800,0.769816650390625,-9.805463420563935,0.09003608035920187,-0.12312515214830637
1663326947288773600,0.779773681640625,-9.805493231180309,0.08998329985919408,-0.1207779771008063
1663326947298730500,0.78973046875,-9.805475695523619,0.09180209451788104,-0.1208623309160117
1663326947308687600,0.7996875,-9.805495569267869,0.09308078181734308,-0.1182397912595421
1663326947318643500,0.8096435546875,-9.805517196577787,0.09437533340621738,-0.11538336064880714
1663326947328600600,0.8196005859375,-9.805524210840463,0.0952273471256718,-0.11404052207195199
1663326947338557700,0.8295576171875,-9.805521872752903,0.09629314972627907,-0.11336084184525534
1663326947348513500,0.839513427734375,-9.805537654843926,0.09703279824559576,-0.11136720207631587
1663326947358470700,0.849470703125,-9.80553005605936,0.09830824327520095,-0.11090898258057422
1663326947368427800,0.859427734375,-9.805522457274794,0.09949729779614135,-0.11049429169930516
1663326947378383600,0.869383544921875,-9.805516027534008,0.10077216743701137,-0.10993688614540732
1663326947388340700,0.8793408203125,-9.805528302493691,0.10126866398337296,-0.10836289656064473
1663326947398297600,0.889297607421875,-9.805527133449912,0.10253720434815622,-0.1072947193398606
1663326947408253700,0.899253662109375,-9.805523041796684,0.10398592358543537,-0.10622882540770806
1663326947418210800,0.9092109375,-9.80551135135889,0.1055365322946105,-0.1058174589946866
1663326947428167700,0.919167724609375,-9.805514858490229,0.10645312654972076,-0.10455958615439012
1663326947438123800,0.929123779296875,-9.805531809625029,0.10688456763639115,-0.10251907503642141
1663326947448080600,0.93908056640625,-9.805538239365816,0.10741773379817604,-0.10129370709308423
1663326947458037500,0.94903759765625,-9.805533563190698,0.10838723641745746,-0.10075882389824836
1663326947467993900,0.958993896484375,-9.805527133449912,0.1093273942112457,-0.10032084347293711
1663326947477950500,0.968950439453125,-9.805521872752903,0.10987967606545425,-0.10027019099793397
1663326947487907600,0.978907470703125,-9.805523041796684,0.10982748008733614,-0.10019760981891304
1663326947497864700,0.98886474609375,-9.805519534665345,0.10998895425936206,-0.10037334084515459
1663326947507820500,0.998820556640625,-9.805512520402669,0.11039505997537635,-0.10062645708969793
1663326947517777700,1.008777587890625,-9.805508428749441,0.11128637365875765,-0.10002419861392117
1663326947527734800,1.01873486328125,-9.805500245442985,0.1123999243912287,-0.09956266378308645
1663326947537690600,1.028690673828125,-9.805496153789758,0.1130003927687183,-0.09931426024627871
1663326947547647700,1.038647705078125,-9.805503752574324,0.11229243629560805,-0.09937073967386968
1663326947557604600,1.0486044921875,-9.805514858490229,0.1108619103021454,-0.09985613943748176
1663326947567560700,1.058560791015625,-9.805526548928022,0.10952060609525069,-0.10017729768324643
1663326947577517800,1.068517822265625,-9.805527133449912,0.10945608949167654,-0.10019402962233871
1663326947587474700,1.078474609375,-9.805520703709124,0.11031337304129264,-0.09988885439699514
1663326947597430800,1.0884306640625,-9.80551018231511,0.11126963258651085,-0.09984106973251328
1663326947607387600,1.0983876953125,-9.80550959779322,0.11141476754508912,-0.09977430637292563
1663326947617344500,1.108344482421875,-9.805509013271331,0.11130953533863648,-0.09993516862359829
1663326947627300900,1.11830078125,-9.80551310492456,0.11095311398324556,-0.0999317436906509
1663326947637257500,1.128257568359375,-9.80551135135889,0.11104583376799709,-0.10002474660319276
1663326947647214600,1.138214599609375,-9.805515443012117,0.11073419226924888,-0.09996852290392853
1663326947657170400,1.14817041015625,-9.805523626318573,0.1098128761732485,-0.10014420826439745
1663326947667127600,1.15812744140625,-9.805524210840463,0.10905582899455912,-0.10094323142128996
1663326947677084700,1.168084716796875,-9.80549440022409,0.1094079395010136,-0.1034109732416924
1663326947687041500,1.17804150390625,-9.80553064058125,0.1081478381710127,-0.10125884584225714
1663326947696998000,1.187997802734375,-9.805524210840463,0.10833929648934863,-0.10171192337200045
1663326947706955000,1.197955078125,-9.805497322833537,0.10945044520217925,-0.1030699777842965
1663326947716911900,1.207911865234375,-9.805485632395744,0.11038162510506808,-0.10320480141141451
1663326947726868000,1.217867919921875,-9.80543477899134,0.11249349355935119,-0.1057081534013152
1663326947736824800,1.227824951171875,-9.805281049734354,0.1213533201701939,-0.11007034893250092
1663326947746782000,1.237781982421875,-9.804808171525597,0.1474925636882428,-0.11986116364998742
1663326947756738000,1.247738037109375,-9.80418740927875,0.18427059878893196,-0.1197642882799264
1663326947766695000,1.25769482421875,-9.8031814471066,0.23194696232443673,-0.11925158951743506
1663326947776651800,1.26765185546875,-9.801191150072217,0.30419372175922615,-0.12043067063363268
1663326947786607600,1.277607666015625,-9.797741301879286,0.39469504501000047,-0.1373462683302816
1663326947796564700,1.287564697265625,-9.79333283778727,0.4518846666969359,-0.2383577609485015
1663326947806521900,1.29752197265625,-9.787547240123152,0.4696101834038272,-0.39213071094732727
1663326947816477700,1.307477783203125,-9.781029236531257,0.4841573258029297,-0.5171486911049112
1663326947826434800,1.317434814453125,-9.772709151953459,0.49434451942685986,-0.6482040151979774
1663326947836392000,1.327391845703125,-9.758148127159476,0.5077670417102054,-0.8313249324951321
1663326947846348800,1.337348876953125,-9.734920980829,0.5333370979050174,-1.056999335622415
1663326947856305000,1.347304931640625,-9.70086615101397,0.5624460688157007,-1.321830494813621
1663326947866262000,1.357261962890625,-9.655558105778693,0.591652764479816,-1.609511710651219
1663326947876219000,1.367218994140625,-9.60424000647366,0.6170036980312317,-1.8836846256181596
1663326947886175000,1.377175048828125,-9.561203997823595,0.6525232666365802,-2.0803793102376162
