time,seconds_elapsed,z,y,x
1662982563186761700,0.36376171875,-9.4741552444458,-2.0602048294760285,1.4718436538875102
1662982563196717800,0.3737177734375,-9.477059149193764,-2.0502415077358482,1.4670536431320012
1662982563206675000,0.383675048828125,-9.47969534291625,-2.04089982502535,1.4630417771421371
1662982563216631300,0.39363134765625,-9.482088375532626,-2.0323928395733235,1.4593717103272676
1662982563226587100,0.403587158203125,-9.48411432840228,-2.025404295860231,1.4559177704811095
1662982563236543200,0.413543212890625,-9.485974861577153,-2.0193993563570083,1.4521335757672786
1662982563246499000,0.4234990234375,-9.487778111606836,-2.013974408698827,1.4478791331931948
1662982563256456200,0.433456298828125,-9.489490176221727,-2.0088208253279327,1.4438161215379834
1662982563266412000,0.443412109375,-9.491277059638499,-2.003629248034209,1.4392768706731498
1662982563276368100,0.4533681640625,-9.493100767934322,-1.9985947609983383,1.434239899419248
1662982563286324000,0.463323974609375,-9.494871284738183,-1.9937628107972443,1.4292358075216411
1662982563296280000,0.473280029296875,-9.49670317634046,-1.9889527801670133,1.4237541612401603
1662982563306236000,0.48323583984375,-9.49868002937138,-1.9841731446750461,1.4172240288190543
1662982563316193000,0.493193115234375,-9.500840422275662,-1.9792025166556237,1.4096705446995794
1662982563326148900,0.50314892578125,-9.503200137144326,-1.973761786906421,1.401368288039416
1662982563336105200,0.513105224609375,-9.505690200394392,-1.9672735939309,1.3935824564687906
1662982563346061000,0.52306103515625,-9.50819078503847,-1.9597784158699214,1.3870681061387062
1662982563356017200,0.53301708984375,-9.510994152021407,-1.950733816409856,1.3805842970773576
1662982563365974000,0.54297412109375,-9.514210775980352,-1.9400461259178816,1.373461313329637
1662982563375930000,0.55293017578125,-9.517800324904918,-1.9284477503217756,1.3648976292543114
1662982563385886000,0.562885986328125,-9.522035770517586,-1.9166661271132528,1.351892163339257
1662982563395842000,0.572842041015625,-9.527229247507453,-1.9045066105030477,1.3323428287386894
1662982563405798000,0.5827978515625,-9.533534485131502,-1.8914764485381543,1.3055334400072693
1662982563415755000,0.592755126953125,-9.54108884603381,-1.8765292009055614,1.2714730572342872
1662982563425711000,0.602711181640625,-9.549705283209681,-1.859016194438189,1.2318981488235294
1662982563435667000,0.6126669921875,-9.559286766025423,-1.8375218632496892,1.1890906151670961
1662982563445623000,0.622623046875,-9.569616436859965,-1.81209559943974,1.1441761723592876
1662982563455579100,0.6325791015625,-9.580444704866409,-1.7833629875607788,1.0977609695997088
1662982563465535200,0.64253515625,-9.591153145885468,-1.7519905286975204,1.0538969126276672
1662982563475492000,0.6524921875,-9.601953941363096,-1.7176367159359156,1.0112327329646795
1662982563485448200,0.6624482421875,-9.612926586276291,-1.6813189096249639,0.9670539840202778
1662982563495404000,0.672404052734375,-9.623930210849641,-1.6447401142902671,0.9193364664904773
1662982563505360100,0.682360107421875,-9.634835635745524,-1.6097002189606426,0.865557164703682
1662982563515316000,0.69231591796875,-9.645821140140294,-1.5766164261348545,0.8017495131164789
1662982563525273000,0.702273193359375,-9.657239775255322,-1.5439971820808946,0.7240029872216284
1662982563535229000,0.71222900390625,-9.669276834529638,-1.507557064564526,0.6346237450696528
1662982563545185000,0.72218505859375,-9.681294604581593,-1.4650214066520333,0.5446424819039181
1662982563555140900,0.732140869140625,-9.69245488102138,-1.4189903078392148,0.461705511226505
1662982563565097200,0.74209716796875,-9.702392337667941,-1.3730774285785854,0.38551867239642884
1662982563575054000,0.75205419921875,-9.711043261635304,-1.32957190272063,0.31345895996633916
1662982563585010200,0.76201025390625,-9.718441555193065,-1.2881991511076687,0.25063725067656484
1662982563594966300,0.77196630859375,-9.725142514136433,-1.2448759960792959,0.20560858863824977
1662982563604922000,0.781922119140625,-9.73096669024527,-1.2032839026272297,0.17543562349155545
1662982563614878200,0.791878173828125,-9.73475322304666,-1.1755599563341588,0.15172337879156694
1662982563624834000,0.801833984375,-9.73693524326086,-1.1595492441885173,0.1338773044449277
1662982563634791200,0.811791259765625,-9.738421097904443,-1.148437044674158,0.12093657432915642
1662982563644747000,0.8217470703125,-9.739794724345206,-1.1376397563278675,0.11205775989005341
1662982563654703000,0.831703125,-9.741575178021192,-1.1225982545405626,0.10893280540308914
1662982563664659000,0.841658935546875,-9.743927878627181,-1.1017460206478833,0.11137571417633443
1662982563674615000,0.851614990234375,-9.74651847964227,-1.0782787819512187,0.11435479391920379
1662982563684572000,0.861572021484375,-9.748877025467158,-1.0572754491500556,0.10932544884933158
1662982563694528000,0.871528076171875,-9.750705409938096,-1.0421581787128,0.08961857646633871
1662982563704484000,0.881484130859375,-9.75170786497891,-1.0351887780915945,0.0543951412633527
1662982563714440200,0.891440185546875,-9.751602066516876,-1.037566393943131,0.010058944726426853
1662982563724396000,0.90139599609375,-9.750392106205224,-1.048339278500527,-0.03501900323864538
1662982563734353200,0.911353271484375,-9.748328159412742,-1.065269297448173,-0.07542534380513242
1662982563744309000,0.92130908203125,-9.745659816986322,-1.0866668902639298,-0.10795329284644685
1662982563754265000,0.93126513671875,-9.742609197244047,-1.1112851986918597,-0.13036783501924945
1662982563764221000,0.941220947265625,-9.739245273768901,-1.138417316571623,-0.14659428140795788
1662982563774177000,0.951177001953125,-9.735549926382303,-1.1673484466973691,-0.16356683345623313
1662982563784134100,0.961134033203125,-9.731347798517346,-1.1982293957166372,-0.18840727846855296
1662982563794090000,0.971090087890625,-9.726644150871039,-1.2299744872845708,-0.22346761379800736
1662982563804046000,0.981046142578125,-9.721592128178477,-1.2612239042900502,-0.265232104674913
