time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1662982563186761700,0.36376171875,0.3773735836254922,-0.08909031768244574,-0.19395392970139994,0.15412153631601644,-0.9723319307929296,-0.09494963118062337,0.21165926990050093
1662982563196717800,0.3737177734375,0.3773465826865459,-0.0886372116709157,-0.19388805903045617,0.15358149652526287,-0.9724211297995435,-0.09459339696068444,0.21062022127980803
1662982563206675000,0.383675048828125,0.3773248585389606,-0.08820730956065097,-0.1938304579168243,0.1531261109580472,-0.9725017952922217,-0.0942842796179687,0.2096462046292733
1662982563216631300,0.39363134765625,0.37732056849572726,-0.08781528162536452,-0.19378563745862115,0.15271000356853087,-0.9725734243646961,-0.09400276644141006,0.20875939568006432
1662982563226587100,0.403587158203125,0.37732235022894467,-0.08749747601346812,-0.19374947089839586,0.15232209620122766,-0.972633785429409,-0.09374929823169513,0.20803100240785974
1662982563236543200,0.413543212890625,0.377335304394312,-0.08723221128917849,-0.19372029365501048,0.1519029114172032,-0.9726883887806,-0.09349022212001849,0.20740521876753268
1662982563246499000,0.4234990234375,0.37735912340036365,-0.08700054216718112,-0.1936961195167981,0.1514363121396879,-0.9727403529460293,-0.09321393932996509,0.20683994518478507
1662982563256456200,0.433456298828125,0.37739682140518416,-0.08677997187065102,-0.1936804612727372,0.15099096848823793,-0.9727883796064465,-0.09295107126246227,0.20630300608394933
1662982563266412000,0.443412109375,0.3774313977364407,-0.08656250180524495,-0.19366111243912132,0.15049549455940334,-0.9728390721729941,-0.09266330909118409,0.2057621856373054
1662982563276368100,0.4533681640625,0.37748830772585146,-0.08635700683110491,-0.19365094794427667,0.1499483051905694,-0.9728888812667938,-0.09235278660275122,0.20523777755269076
1662982563286324000,0.463323974609375,0.3775533243705679,-0.08616102799860308,-0.1936455852654242,0.1494054490073158,-0.9729364047853595,-0.09204656064773101,0.20473451001113216
1662982563296280000,0.473280029296875,0.37764074127290104,-0.08597001746788839,-0.1936491554159824,0.14881256876651588,-0.9729836952635948,-0.0917171386598892,0.20423359548383385
1662982563306236000,0.48323583984375,0.37776715392576915,-0.08578945406284937,-0.1936671937316421,0.1481096269967286,-0.973031821404257,-0.09133608864157783,0.20373587838949164
1662982563316193000,0.493193115234375,0.3779404492533205,-0.08560757849540306,-0.19370301602051174,0.14729860647511955,-0.9730813276731998,-0.09090261707146037,0.20321835074411637
1662982563326148900,0.50314892578125,0.3781506903837474,-0.08540796796784147,-0.193752305730812,0.1464076352338442,-0.9731332584061916,-0.09042737753162756,0.20265192694346412
1662982563336105200,0.513105224609375,0.3784556537322867,-0.08514599918161934,-0.19384722899575377,0.14556809060346435,-0.9731795733348942,-0.08997131737468898,0.2019765330364106
1662982563346061000,0.52306103515625,0.378844576911922,-0.08481657379999585,-0.19398608638878537,0.14485955940827547,-0.9732174351731673,-0.08957302524597148,0.20119643885418753
1662982563356017200,0.53301708984375,0.3793153756035185,-0.08440512487360427,-0.19416083353292618,0.14414986655323261,-0.9732559784210948,-0.08916295353482266,0.2002552553345623
1662982563365974000,0.54297412109375,0.37986657070042634,-0.08391389591079744,-0.19436759308260587,0.14336849082421088,-0.9732989978414003,-0.08870570897496807,0.19914331726811751
1662982563375930000,0.55293017578125,0.3805726455719386,-0.08338486481134974,-0.19464128824733465,0.14243364957483692,-0.973338391238185,-0.08817133951985319,0.19793691274164202
1662982563385886000,0.562885986328125,0.38151511945745764,-0.08288209118493864,-0.19501074820570177,0.141032572937688,-0.9733753501580168,-0.0874176849465264,0.19671173647858453
1662982563395842000,0.572842041015625,0.3827450670674166,-0.08241559687526658,-0.195491610635504,0.13894468739302981,-0.9734149065110459,-0.08633742820324793,0.19544759426627603
1662982563405798000,0.5827978515625,0.38424840184306713,-0.08196933798026197,-0.19607324113211205,0.13609466438121776,-0.9734631011543459,-0.08488834784938548,0.1940932789853157
1662982563415755000,0.592755126953125,0.38605460938850306,-0.08149036865445801,-0.19676820423467073,0.13248231272817074,-0.9735206702830931,-0.08306120179206447,0.1925401526544776
1662982563425711000,0.602711181640625,0.3881270520064307,-0.0809309949873256,-0.1975656189459049,0.12829007918712815,-0.9735847661307739,-0.0809364662596807,0.1907210233008233
1662982563435667000,0.6126669921875,0.39051450043334857,-0.08019572927076414,-0.19849696073960954,0.12375546098305157,-0.9736461418355205,-0.07861722387375246,0.18848921709074934
1662982563445623000,0.622623046875,0.39340902597456884,-0.07926963731356615,-0.19966227646890425,0.1189985380118756,-0.9736783657243798,-0.07616879460043008,0.18585037534758597
1662982563455579100,0.6325791015625,0.3969924949046519,-0.07817358559143169,-0.2011556012001073,0.1140859495954397,-0.9736545836260403,-0.07363523749719462,0.18286995644548762
1662982563465535200,0.64253515625,0.4010457262517846,-0.07690923496117917,-0.20288921287756848,0.10944312975948163,-0.9735751909925648,-0.0712198143653134,0.17961757141149914
1662982563475492000,0.6524921875,0.4052654694539022,-0.07548561819599658,-0.20470979449399074,0.10492852164331117,-0.9734769063186424,-0.06883693618053614,0.1760583266819256
1662982563485448200,0.6624482421875,0.40946785104626415,-0.073989758861806,-0.20651975471066664,0.10026201642737437,-0.9733819793744152,-0.06635255280503238,0.17229804828430587
1662982563495404000,0.672404052734375,0.41355256138392427,-0.07253285755185458,-0.20826627785275256,0.09523710499529664,-0.9732980836692241,-0.06367962997148954,0.16851322673321964
1662982563505360100,0.682360107421875,0.4174882373795784,-0.07123417136466338,-0.20992823008910289,0.0895957049287823,-0.9732266311152447,-0.06071062697982475,0.16488990896128794
