time,seconds_elapsed,z,y,x
1662982563186761700,0.36376171875,-0.017933044582605362,-0.060414720326662064,-0.10128974169492722
1662982563196717800,0.3737177734375,-0.019923757761716843,-0.0478198379278183,-0.10047721117734909
1662982563206675000,0.383675048828125,-0.01505062635987997,-0.04250049218535423,-0.09404538571834564
1662982563216631300,0.39363134765625,-0.011818081140518188,-0.04198810085654259,-0.08321084827184677
1662982563226587100,0.403587158203125,-0.00945918820798397,-0.04045746475458145,-0.06586343050003052
1662982563236543200,0.413543212890625,-0.0067028165794909,-0.04432011395692825,-0.061648715287446976
1662982563246499000,0.4234990234375,-0.006052070297300816,-0.04529627785086632,-0.05757153034210205
1662982563256456200,0.433456298828125,-0.0056555261835455894,-0.04736795276403427,-0.053378649055957794
1662982563266412000,0.443412109375,-0.004885097034275532,-0.053727056831121445,-0.05385871231555939
1662982563276368100,0.4533681640625,-0.0011372303124517202,-0.05455103889107704,-0.052821945399045944
1662982563286324000,0.463323974609375,0.0004041376814711839,-0.05375570058822632,-0.05082293599843979
1662982563296280000,0.473280029296875,0.0019405153580009937,-0.06307890266180038,-0.052843205630779266
1662982563306236000,0.48323583984375,0.008574771694839,-0.07353240251541138,-0.05136982351541519
1662982563316193000,0.493193115234375,0.00905467290431261,-0.08323962241411209,-0.05619094520807266
1662982563326148900,0.50314892578125,0.016633478924632072,-0.08430353552103043,-0.06409241259098053
1662982563336105200,0.513105224609375,0.02240375056862831,-0.07142874598503113,-0.07761940360069275
1662982563346061000,0.52306103515625,0.03198104724287987,-0.05897585302591324,-0.09086543321609497
1662982563356017200,0.53301708984375,0.03360877186059952,-0.06645480543375015,-0.11208736896514893
1662982563365974000,0.54297412109375,0.04126828908920288,-0.07218805700540543,-0.1263943910598755
1662982563375930000,0.55293017578125,0.06176877021789551,-0.0957101583480835,-0.13371968269348145
1662982563385886000,0.562885986328125,0.08732305467128754,-0.15228843688964844,-0.14026203751564026
1662982563395842000,0.572842041015625,0.1155051589012146,-0.22169387340545654,-0.1496584564447403
1662982563405798000,0.5827978515625,0.14184334874153137,-0.29253798723220825,-0.16669374704360962
1662982563415755000,0.592755126953125,0.16760170459747314,-0.36359378695487976,-0.19246302545070648
1662982563425711000,0.602711181640625,0.1919078230857849,-0.40264955163002014,-0.2281295359134674
1662982563435667000,0.6126669921875,0.22379279136657715,-0.4212602376937866,-0.27633675932884216
1662982563445623000,0.622623046875,0.2845243215560913,-0.43582114577293396,-0.32254090905189514
1662982563455579100,0.6325791015625,0.34553655982017517,-0.4142404794692993,-0.3548048138618469
1662982563465535200,0.64253515625,0.3747442960739136,-0.3777286410331726,-0.383711040019989
1662982563475492000,0.6524921875,0.37736672163009644,-0.38409411907196045,-0.4148191511631012
1662982563485448200,0.6624482421875,0.3703681230545044,-0.4085801839828491,-0.42044296860694885
1662982563495404000,0.672404052734375,0.36045345664024353,-0.4628005623817444,-0.41073280572891235
1662982563505360100,0.682360107421875,0.3484269082546234,-0.5441567301750183,-0.386814683675766
1662982563515316000,0.69231591796875,0.3617784082889557,-0.6745091676712036,-0.36564362049102783
1662982563525273000,0.702273193359375,0.49167174100875854,-0.8110499978065491,-0.38659536838531494
1662982563535229000,0.71222900390625,0.7346151471138,-0.8367660045623779,-0.46239903569221497
1662982563545185000,0.72218505859375,0.8853655457496643,-0.7715539932250977,-0.5159738659858704
1662982563555140900,0.732140869140625,0.934174120426178,-0.6797758936882019,-0.5280483365058899
1662982563565097200,0.74209716796875,0.9539488554000854,-0.6341971158981323,-0.5011304616928101
1662982563575054000,0.75205419921875,0.9715870022773743,-0.580345094203949,-0.4664347767829895
1662982563585010200,0.76201025390625,0.98892742395401,-0.44305816292762756,-0.44907110929489136
1662982563594966300,0.77196630859375,0.9540818333625793,-0.24012474715709686,-0.4898633062839508
1662982563604922000,0.781922119140625,0.905116856098175,-0.16262030601501465,-0.3862382173538208
1662982563614878200,0.791878173828125,0.8806391954421997,-0.10681376606225967,-0.22512978315353394
1662982563624834000,0.801833984375,0.8745440244674683,-0.051872462034225464,-0.14427900314331055
1662982563634791200,0.811791259765625,0.8838291168212891,-0.007891690358519554,-0.11455066502094269
1662982563644747000,0.8217470703125,0.8888047933578491,0.039095696061849594,-0.13496164977550507
1662982563654703000,0.831703125,0.8536888957023621,0.0973920226097107,-0.19486279785633087
1662982563664659000,0.841658935546875,0.7627765536308289,0.1301659494638443,-0.24824212491512299
1662982563674615000,0.851614990234375,0.6457276940345764,0.07775893062353134,-0.24467028677463531
1662982563684572000,0.861572021484375,0.5303018093109131,-0.061320897191762924,-0.19986620545387268
1662982563694528000,0.871528076171875,0.41854327917099,-0.24505718052387238,-0.12162838876247406
1662982563704484000,0.881484130859375,0.3156198561191559,-0.3914959132671356,-0.02617168053984642
1662982563714440200,0.891440185546875,0.23994557559490204,-0.4505451023578644,0.0718718022108078
1662982563724396000,0.90139599609375,0.20260180532932281,-0.42154020071029663,0.14704099297523499
1662982563734353200,0.911353271484375,0.1862526684999466,-0.362557590007782,0.20270319283008575
1662982563744309000,0.92130908203125,0.19337952136993408,-0.261526495218277,0.2410074770450592
1662982563754265000,0.93126513671875,0.22228573262691498,-0.16266970336437225,0.27433428168296814
1662982563764221000,0.941220947265625,0.2723289728164673,-0.1237969622015953,0.29417040944099426
1662982563774177000,0.951177001953125,0.32998988032341003,-0.16593456268310547,0.3146232068538666
1662982563784134100,0.961134033203125,0.40848496556282043,-0.26126593351364136,0.33334124088287354
1662982563794090000,0.971090087890625,0.5046999454498291,-0.3444036841392517,0.3395421504974365
